
D:\Program Files\adb>adb shell
# top -d 1
top -d 1


处理方式：模拟cpy_to_trout拷贝数据方式，6814byte数据当作4个pkt拷贝，每个pkt tx descripter和pkt各一次拷贝，
          每300次睡眠1ms，共循环1359次，耗时2001070us, 其中睡眠时间没算在内。
(count: 1359, cost: 2001070)


User 11%, System 8%, IOW 0%, IRQ 0%
User 12 + Nice 0 + Sys 9 + Idle 85 + IOW 0 + IRQ 0 + SIRQ 0 = 106

  PID CPU% S  #THR     VSS     RSS PCY UID      Name
 1145   0% S     1    832K    284K  fg system   /system/bin/servicemanager
 1146   0% S     3   3768K    556K  fg root     /system/bin/vold
 1147   0% S     3   3756K    552K  fg root     /system/bin/netd
 1148   0% S     1    692K    252K  fg root     /system/bin/debuggerd
 1149   0% S     8   9576K    784K  fg radio    /system/bin/rild_sp
 1150   0% S     1 108928K  27544K  fg root     zygote
 1151   0% S     9  34656K   5212K  fg media    /system/bin/mediaserver
 1153   0% S     1   1288K    708K  fg bluetoot /system/bin/dbus-daemon
 1154   0% S     1    832K    332K  fg root     /system/bin/installd
 1155   0% S     1   1644K    396K  fg keystore /system/bin/keystore
 1158   0% S     1   1084K    452K  fg root     /system/bin/akmd8975
 1160   0% S     1   2224K    336K  fg root     /system/xbin/busybox
 1161   0% S     1    692K    284K  fg log      /system/bin/logwrapper
 1162   0% S     1    692K    284K  fg log      /system/bin/logwrapper
 1164   0% S     1   2228K    352K  fg root     /system/xbin/busybox
 1165   0% S     1   2228K    348K  fg root     /system/xbin/busybox
 1235   0% S    28  28720K    672K  fg root     /opl/telephony/etc/xbin/phoneserver
 1236   0% S     1      0K      0K  fg root     flush-31:5
 1237   0% S     1      0K      0K  fg root     flush-31:6
 1238   0% S     1      0K      0K  fg root     flush-31:8
 1239   0% S     1      0K      0K  fg root     flush-31:11
 1240   0% S     1      0K      0K  fg root     flush-31:12
 1241   0% S     1      0K      0K  fg root     flush-31:13
 1242   0% S     1      0K      0K  fg root     flush-31:17
 1417   0% S     7 140200K  19444K  fg app_3    com.yeezonetech.firewall
 1419   0% S    21 167680K  31008K  fg radio    com.android.phone
 1422   0% S     7 161688K  28164K  bg app_1    com.android.launcher
 1428   0% S     7 158120K  25444K  fg system   com.android.settings
 1449   0% S     7 143576K  21436K  fg app_10   com.android.inputmethod.pinyin
 1488   0% S     9 177836K  34716K  bg app_10   android.process.acore
 1503   0% S     8 140728K  19064K  bg app_4    com.android.defcontainer
